Отметка времени,Проводили ли вы сделки на своём брокерском счёте в последнее время?,Ваш телеграмм (в формате @username),Почему вы в настоящее время не инвестируете на бирже?,Каким образом вы в основном распоряжаетесь свободными деньгами?,Что могло бы побудить вас начать инвестировать?,Сколько вам лет?,Ваш опыт в инвестициях:,Как часто вы торгуете?,Какими финансовыми инструментами вы чаще пользуетесь или пользовались?,К какому типу инвесторов по отношению к риску вы себя относите?,Как вы относитесь к инструментам маржинальной торговли?,Услугами какого брокера вы пользуетесь чаще всего?,Как вы выбирали своего основного брокера? ,Что в первую очередь побудило вас начать инвестировать? ,"Как вы оцениваете текущий уровень сервиса вашего брокера именно по срочному рынку (фьючерсы, опционы и др.)?",Какими торговыми интерфейсами вы пользуетесь чаще всего?,Какие источники информации при совершении сделок для вас наиболее авторитетны? ,"Часто ли вы принимаете инвестиционные решения на основе аналитики и советов финфлюенсеров (люди, которые в социальных сетях, блогах дают советы, рекомендации или высказывают мнения на финансовые темы)?","Представьте, что в ленте социальных сетей вам попался короткий ролик от известного инвестиционного блогера, где он объясняет работу опционов. Насколько вероятно, что вы досмотрите его до конца?","Если бы в конце такого ролика была ссылка на полный разбор стратегий торговли опционами (15–20 минут), насколько вероятно, что вы перешли бы по ней?","Как вы относитесь к элементам геймификации в инвестиционных приложениях (обучающие квесты, демо-счета, виртуальные награды за сделки)?",Торгуете ли вы опционами?,Имеете ли вы опыт торговли криптовалютой с целью получения прибыли,"Вы согласны с утверждением: «Одна из причин, по которой я выбрал криптовалюту, - это более низкий барьер входа по сравнению с биржевыми инструментами»?","Знакомы ли вы с такими понятиями как «временной распад стоимости опциона», «опцион в деньгах/вне денег», «страйк», «пут и колл», «греки», «улыбка волатильности»?",При каких условиях вы бы скорее всего начали торговать опционами? ,"Если бы в приложении брокера (или в любом брокерском приложении, которым вы могли бы воспользоваться) появилась «песочница» для торговли опционами — виртуальный счёт с реальными котировками и полным функционалом — насколько вероятно, что вы начали бы с ней работать в ближайшие 6 месяцев?","Если бы после освоения «песочницы» вы почувствовали уверенность в своих действиях, насколько вероятно, что вы перешли бы к реальной торговле опционами?","Готовы ли вы пройти обучение для старта торговли опционами в ближайшее время, если найдёте подходящий каталог курсов от Московской биржи?","Что вы, скорее всего, сделаете после открытия каталога курсов?",Какое было бы ваше следующее действие после прохождения обучающего курса по опционам?,"Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего?",Какие барьеры в постоянной торговле опционами вам видятся наиболее существенными (кроме низкой ликвидности)?,Какие барьеры для самой первой сделки с опционами вам видятся наиболее существенными  (кроме низкой ликвидности)?,Что из перечисленного является для вас основным препятствием для начала или расширения торговли опционами  (кроме низкой ликвидности)  ? ,"Насколько для вас важен интуитивно понятный, простой интерфейс при торговле опционами? ","Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?","Какую практическую задачу, по вашему мнению, опционы закрывают лучше всего? ",Каков ваш наиболее частый горизонт инвестирования при использовании опционов?,"Если вспомнить ваш самый первый опыт торговли, какие барьеры для первой сделки с опционами были наиболее существенными (кроме низкой ликвидности)?",Какой барьер в постоянной торговле опционами вам видится наиболее существенным? ,Оцените удобство интерфейса торгового приложения вашего брокера именно для работы с опционами.,"Если в прошлом вопросе вы выбрали 3 или менее, укажите, что именно в интерфейсе приложения кажется вам неудобным или непонятным при работе с опционами?"
29.05.2026 1:23:46,Нет,@vitiatia,"Недостаток знаний и опыта, Нет свободных денег, Страх потерять сбережения, Недоверие к брокерам / бирже, Не вижу смысла, доходность не привлекает",Храню наличными,Гарантии сохранности капитала,,,,,,,,,,,,,,,,,,,,Нет,При появлении интереса к этому ,9,4,Нет,Закрою каталог,Не буду торговать опционами,Ограничивать рыночный риск,"Сложность инструмента, Страх перед повышенным риском","Сложность инструмента, Недостаток аналитики по опционам",Сложность инструмента,10,,,,,,,
29.05.2026 7:01:32,Нет,,"Нет свободных денег, Страх потерять сбережения, Недоверие к брокерам / бирже",Банковский вклад,"Понятное и доступное обучение, Гарантии сохранности капитала, Низкий порог входа (небольшая сумма для старта), Совет друзей / родственников, Успешные примеры знакомых или блогеров, Появление простого и удобного мобильного приложения",,,,,,,,,,,,,,,,,,,,Нет,"При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, При поддержке близких людей",5,5,"Да, но только бесплатное",Закрою каталог,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения, Страх перед повышенным риском","Недостаток аналитики по опционам, Отсутствие понятного обучения, Отсутствие достаточной рекламы/ информации",Отсутствие достаточной рекламы/ информации,7,,,,,,,
29.05.2026 8:23:57,Нет,,Недоверие к брокерам / бирже,Накопительный счёт,Появление простого и удобного мобильного приложения,,,,,,,,,,,,,,,,,,,,Нет,Если бы они были ликвидные :),5,5,Нет,Посмотрю описание курсов,Не буду торговать опционами,"Реализовывать специфический сценарий (рост, падение, волатильность)",Недостаток аналитики по опционам,Недостаток аналитики по опционам,Недостаток аналитики по опционам,2,Я обычно звоню брокеру и он выписывает мне опцион,,,,,,
29.05.2026 8:35:15,Нет,,Недостаток знаний и опыта,Накопительный счёт,Совет друзей / родственников,,,,,,,,,,,,,,,,,,,,Да,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,2,5,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Получать большую доходность сравнительно с базовыми активами,Высокие комиссии,Отсутствие достаточной рекламы/ информации,Отсутствие достаточной рекламы/ информации,7,"у вас логическая ошибка в вопросе: если человек не знаком с опционами, то последующие вопросы про опционы для него обязательны, а выбора ""я ничего не знаю"" у него нет",,,,,,
29.05.2026 9:35:30,Да,@zabarova_y,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Облигации, Структурные продукты",Умеренный (сбалансированный риск),Не использовал(-а) никогда,Финам,Удобный интерфейс терминала / мобильного приложения,"Самостоятельный интерес (книги, аналитика)",Практически отсутствует/ не пользуюсь,Мобильное приложение,"Официальная информация Биржи, Аналитика от брокера, Аналитика СРО (НАУФОР, НФА)",Редко,9,8,Положительно,Нет,Нет,,Да,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента",9,8,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,"Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами","Сложность инструмента, Недостаток аналитики по опционам",Высокий порог входа (размер капитала),Сложность инструмента,10,,,,,,,
29.05.2026 9:39:56,Да,@kar1mau ,,,,16-25,1–5 лет,Реже чем раз в неделю,Акции,Агрессивный (готов на высокий риск ради доходности),"Использую, только когда абсолютно уверен в сделке",Interactive Brokers ,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Никогда,6,7,Положительно,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Получать большую доходность по сравнению с базовым активом",Среднесрочный (несколько недель),Сложность инструмента,Страх перед повышенным риском,4,
29.05.2026 9:43:24,Да,@idk_Varya,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Облигации, Валютные инструменты",Умеренный (сбалансированный риск),Не использовал(-а) никогда,Финам,По совету знакомых / родственников,Обучающие курсы / статьи / видео,Достаточный,Мобильное приложение,Аналитика от брокера,Часто,8,2,Нейтрально,Нет,Нет,,Да,При наличии свободного времени,5,6,"Да, но только бесплатное",Посмотрю описание курсов,Отложу торговлю на какое-то время,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)",Страх перед повышенным риском,Высокий порог входа (размер капитала),Высокий порог входа (размер капитала),6,,,,,,,
29.05.2026 10:29:57,Да,@zuziakazavr,,,,16-25,Менее 1 года,Реже чем раз в неделю,Акции,Консервативный (минимальный риск),Не использовал(-а) никогда,Т-Банк,По совету знакомых / родственников,Обучающие курсы / статьи / видео,Практически отсутствует/ не пользуюсь,Web-терминал (в браузере),"Данные ЦБ и регулирующих органов, Обучающие курсы (платные / бесплатные)",Никогда,10,8,Положительно,Нет,Нет,,Да,"При наличии понятного интерактивного обучения, При наличии свободного времени",10,10,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Защищать другую открытую позицию,Страх перед повышенным риском,Сложность инструмента,Сложность инструмента,10,,,,,,,
29.05.2026 10:30:00,Да,@ksenia_ks05,,,,16-25,Менее 1 года,Торгую в одну из торговых сессий почти каждый день,"Акции, Облигации, Валютные инструменты",Умеренный (сбалансированный риск),Не использовал(-а) никогда,БКС,Самые низкие комиссии,"Самостоятельный интерес (книги, аналитика)",Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера, Обучающие курсы (платные / бесплатные), Инвестблогеры/ финфлюенсеры, Аналитика СРО (НАУФОР, НФА)",Редко,9,6,Нейтрально,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Защищать другую открытую позицию (хеджирование)",Среднесрочный (несколько недель),Высокий порог входа (размер капитала),Сложность инструмента,4,
29.05.2026 10:34:54,Да,,,,,16-25,1–5 лет,Несколько раз в неделю,"Облигации, Фьючерсы, Валютные инструменты, Структурные продукты",Умеренный (сбалансированный риск),Пару раз пробовал(-а),Т-Банк,Удобный интерфейс терминала / мобильного приложения,Обучающие курсы / статьи / видео,Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера",Редко,7,8,Нейтрально,Нет,Да,Нет,Да,При наличии ликвидности ,4,10,Нет,Начну проходить интересующий курс,Начну торговать реальными деньгами,"Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами",Высокие комиссии,Сложность инструмента,Сложность инструмента,6,,,,,,,
29.05.2026 10:35:45,Да,@spezialzz,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Облигации",Консервативный (минимальный риск),Не использовал(-а) никогда,Т-Банк,Удобный интерфейс терминала / мобильного приложения,Обучающие курсы / статьи / видео,Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Обучающие курсы (платные / бесплатные)",Редко,7,5,Нейтрально,Нет,Да,Да,,,,,,,,,,,,,,,,,,,
29.05.2026 10:49:51,Нет,,"Недостаток знаний и опыта, Нет свободных денег",Банковский вклад,Понятное и доступное обучение,,,,,,,,,,,,,,,,,,,,Нет,"При поддержке персонального финансового помощника, При наличии понятного интерактивного обучения",7,7,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию","Недостаток аналитики по опционам, Отсутствие понятного обучения",Высокий порог входа (размер капитала),Отсутствие понятного обучения,7,,,,,,,
29.05.2026 11:03:16,Да,,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Фьючерсы",Умеренный (сбалансированный риск),Не использовал(-а) никогда,Т-Банк,Известность и надёжность бренда,Реферальная программа (бонус за открытие счёта и т.п.),Хороший,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика от брокера",Никогда,0,0,Положительно,Нет,Да,Нет,Нет,Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента,5,7,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,Ограничивать рыночный риск,"Высокие комиссии, Страх перед повышенным риском","Сложность инструмента, Отсутствие понятного обучения",Отсутствие понятного обучения,6,,,,,,,
29.05.2026 13:12:27,Да,@ksv467,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации, Фьючерсы",Умеренный (сбалансированный риск),Пару раз пробовал(-а),ВТБ,Самые низкие комиссии,"Самостоятельный интерес (книги, аналитика)",Хороший,Web-терминал (в браузере),"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Редко,7,4,Отрицательно,Нет,Нет,,Да,"Если бы брокер сделал торговлю опционами понятнее, При наличии свободного времени",6,8,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Реализовывать специфический сценарий (рост, падение, волатильность)",Сложность инструмента,Сложность инструмента,Сложность инструмента,7,,,,,,,
29.05.2026 13:12:35,Да,@kirillzhadobov,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации, Опционы",Консервативный (минимальный риск),Пару раз пробовал(-а),Т-Банк,Удобный интерфейс терминала / мобильного приложения,Обучающие курсы / статьи / видео,Достаточный,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Редко,0,2,Нейтрально,Да,,,,,,,,,,,,,,,,"Получать большую доходность по сравнению с базовым активом, Реализовывать специфический сценарий (рост, падение, изменение волатильности)",Краткосрочный (несколько дней),Сложность инструмента,Низкая ликвидность,2,"непонятно на какой БА опцион, на фьюч или на акцию "
29.05.2026 13:19:01,Да,@greathouseholder,,,,16-25,Менее 1 года,Реже чем раз в неделю,"Акции, Облигации, Структурные продукты",Консервативный (минимальный риск),Не использовал(-а) никогда,Сбер,Увидел рекламу,Реферальная программа (бонус за открытие счёта и т.п.),Практически отсутствует/ не пользуюсь,Мобильное приложение,"Официальная информация Биржи, Данные ЦБ и регулирующих органов",Никогда,0,1,Положительно,Нет,Нет,,Да,При наличии свободного времени,6,5,Нет,Закрою каталог,Не буду торговать опционами,"Ограничивать рыночный риск, Защищать другую открытую позицию, Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)",Сложность инструмента,Отсутствие достаточной рекламы/ информации,Отсутствие достаточной рекламы/ информации,6,,,,,,,
29.05.2026 14:01:38,Да,,,,,16-25,1–5 лет,Несколько раз в неделю,"Акции, Облигации, Фьючерсы, Структурные продукты",Агрессивный (готов на высокий риск ради доходности),"Использую, только когда абсолютно уверен в сделке",Т-Банк,Удобный интерфейс терминала / мобильного приложения,"Самостоятельный интерес (книги, аналитика)",Достаточный,Мобильное приложение,"Официальная информация Биржи, Инвестблогеры/ финфлюенсеры",Часто,2,2,Нейтрально,Да,,,,,,,,,,,,,,,,"Ограничивать рыночный риск, Защищать другую открытую позицию (хеджирование)",Среднесрочный (несколько недель),Отсутствие достаточной информации по опционам,Низкая ликвидность,4,
29.05.2026 14:10:16,Да,@nnnnn360,,,,16-25,1–5 лет,Реже чем раз в неделю,"Акции, Облигации, Валютные инструменты",Умеренный (сбалансированный риск),Пару раз пробовал(-а),Финам,По совету знакомых / родственников,Обучающие курсы / статьи / видео,Ниже среднего,Терминал QUIK,"Официальная информация Биржи, Данные ЦБ и регулирующих органов, Аналитика СРО (НАУФОР, НФА)",Редко,6,2,Положительно,Нет,Да,Нет,Да,При наличии свободного времени,3,6,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Ограничивать рыночный риск, Защищать другую открытую позицию",Сложность инструмента,Сложность инструмента,Сложность инструмента,10,,,,,,,
29.05.2026 17:47:49,Нет,@veronika_iskusnykh,"Недостаток знаний и опыта, Нет свободных денег, Страх потерять сбережения, Недоверие к брокерам / бирже",Накопительный счёт,Понятное и доступное обучение,,,,,,,,,,,,,,,,,,,,Нет,Если бы брокер сделал торговлю опционами понятнее,5,5,"Да, но только бесплатное",Начну проходить интересующий курс,Попробую поторговать в демо-версии,Защищать другую открытую позицию,Страх перед повышенным риском,Недостаток аналитики по опционам,Высокий порог входа (размер капитала),5,,,,,,,
29.05.2026 22:51:31,Нет,@Ramz_G,"Недостаток знаний и опыта, Нет свободных денег",Храню наличными,"Понятное и доступное обучение, Гарантии сохранности капитала",,,,,,,,,,,,,,,,,,,,Да,"При наличии понятного интерактивного обучения, Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента",9,9,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Реализовывать специфический сценарий (рост, падение, волатильность)",Отсутствие понятного обучения,"Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Высокий порог входа (размер капитала),7,,,,,,,
29.05.2026 23:35:32,Да,@clearclear ,,,,16-25,1–5 лет,Реже чем раз в неделю,"Фьючерсы, Валютные инструменты",Консервативный (минимальный риск),Не использовал(-а) никогда,Т-Банк,Широкий набор доступных инструментов,"Самостоятельный интерес (книги, аналитика)",Практически отсутствует/ не пользуюсь,Мобильное приложение,"Обучающие курсы (платные / бесплатные), Инвестблогеры/ финфлюенсеры",Часто,6,6,Отрицательно,Нет,Да,Да,,,,,,,,,,,,,,,,,,,
29.05.2026 23:38:31,Нет,@alexander_saratovkin,Недостаток знаний и опыта,Накопительный счёт,Понятное и доступное обучение,,,,,,,,,,,,,,,,,,,,Да,"Если мне станут очевидны конкретные преимущества опционов как инвестиционного инструмента, При наличии свободного времени",8,8,"Да, но только бесплатное",Посмотрю описание курсов,Попробую поторговать в демо-версии,"Получать большую доходность сравнительно с базовыми активами, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения","Сложность инструмента, Недостаток аналитики по опционам, Отсутствие понятного обучения",Отсутствие понятного обучения,8,,,,,,,
29.05.2026 23:41:54,Нет,@KEKSENAKS,"Недостаток знаний и опыта, Нет свободных денег",Банковский вклад,"Низкий порог входа (небольшая сумма для старта), Появление простого и удобного мобильного приложения",,,,,,,,,,,,,,,,,,,,Да,"При наличии понятного интерактивного обучения, При наличии свободного времени",8,9,Рассмотрел бы и платное,Посмотрю описание курсов,Попробую поторговать в демо-версии,"Защищать другую открытую позицию, Реализовывать специфический сценарий (рост, падение, волатильность)","Сложность инструмента, Недостаток аналитики по опционам","Недостаток аналитики по опционам, Высокий порог входа (размер капитала)",Сложность инструмента,7,,,,,,,
