tradedate,asset,series_type,expiration_date,valtoday,voltoday,openposition,oichange,updatetime
2026-04-01,MAGN,W,2026-04-22,100000.0,4000,8000,8000,2026-04-01 23:50:00
2026-04-01,MAGN,M,2026-04-15,492046.0,18465,211964,22520,2026-04-01 23:50:00
2026-04-01,MGNT,Q,2028-06-21,0.0,4,15966,-8,2026-04-01 17:43:27
2026-04-01,MGNT,Q,2028-06-21,0.0,4,15966,-8,2026-04-01 17:43:27
2026-04-01,MOEX,W,2026-04-01,2281840.0,13190,0,-227636,2026-04-01 23:50:00
2026-04-01,MOEX,W,2026-04-08,2508590.0,15070,140212,23282,2026-04-01 23:50:00
2026-04-01,MOEX,W,2026-04-22,28800.0,205,410,410,2026-04-01 23:50:00
2026-04-01,MOEX,M,2026-04-15,2330070.0,17469,183380,22808,2026-04-01 23:50:00
2026-04-01,MOEX,M,2026-05-20,170.0,1,2,0,2026-04-01 23:50:00
2026-04-01,MOEX,Q,2028-06-21,0.0,132,559954,0,2026-04-01 18:49:50
2026-04-01,MOEX,W,2026-04-01,2281840.0,13190,0,-227636,2026-04-01 23:50:00
2026-04-01,MOEX,W,2026-04-08,2508590.0,15070,140212,23282,2026-04-01 23:50:00
2026-04-01,MOEX,W,2026-04-22,28800.0,205,410,410,2026-04-01 23:50:00
2026-04-01,MOEX,M,2026-04-15,2330070.0,17469,183380,22808,2026-04-01 23:50:00
2026-04-01,MOEX,M,2026-05-20,170.0,1,2,0,2026-04-01 23:50:00
2026-04-01,MOEX,Q,2028-06-21,0.0,132,559954,0,2026-04-01 18:49:50
2026-04-01,MTLR,W,2026-04-01,25800.0,380,0,-21630,2026-04-01 23:50:00
2026-04-01,MTLR,W,2026-04-08,42000.0,600,7544,500,2026-04-01 23:50:00
2026-04-01,MTLR,M,2026-04-15,17850.0,255,5558,510,2026-04-01 23:50:00
2026-04-01,MTLR,W,2026-04-01,25800.0,380,0,-21630,2026-04-01 23:50:00
2026-04-01,MTLR,W,2026-04-08,42000.0,600,7544,500,2026-04-01 23:50:00
2026-04-01,MTLR,M,2026-04-15,17850.0,255,5558,510,2026-04-01 23:50:00
2026-04-01,NLMK,M,2026-04-15,500.0,5,1636,0,2026-04-01 23:50:00
2026-04-01,NLMK,M,2026-04-15,500.0,5,1636,0,2026-04-01 23:50:00
2026-04-01,PIKK,W,2026-04-01,1416725.0,3004,0,-16480,2026-04-01 23:50:00
2026-04-01,PIKK,W,2026-04-08,1077350.0,2155,10466,3690,2026-04-01 23:50:00
2026-04-01,PIKK,M,2026-04-15,343000.0,690,7942,500,2026-04-01 23:50:00
2026-04-01,PIKK,W,2026-04-01,1416725.0,3004,0,-16480,2026-04-01 23:50:00
2026-04-01,PIKK,W,2026-04-08,1077350.0,2155,10466,3690,2026-04-01 23:50:00
2026-04-01,PIKK,M,2026-04-15,343000.0,690,7942,500,2026-04-01 23:50:00
2026-04-01,PLZL,W,2026-04-01,852000.0,40,0,-684,2026-04-01 23:50:00
2026-04-01,PLZL,W,2026-04-08,184400.0,9,62,12,2026-04-01 23:50:00
2026-04-01,PLZL,M,2026-04-15,680000.0,30,578,30,2026-04-01 23:50:00
2026-04-01,PLZL,Q,2029-06-20,0.0,2,13484,0,2026-04-01 17:43:38
2026-04-01,PLZL,W,2026-04-01,852000.0,40,0,-684,2026-04-01 23:50:00
2026-04-01,PLZL,W,2026-04-08,184400.0,9,62,12,2026-04-01 23:50:00
2026-04-01,PLZL,M,2026-04-15,680000.0,30,578,30,2026-04-01 23:50:00
2026-04-01,PLZL,Q,2029-06-20,0.0,2,13484,0,2026-04-01 17:43:38
2026-04-01,POSI,W,2026-04-01,94200.0,79,0,-2292,2026-04-01 23:50:00
2026-04-01,POSI,W,2026-04-08,93500.0,85,382,60,2026-04-01 23:50:00
2026-04-01,POSI,W,2026-04-22,8000.0,8,16,16,2026-04-01 23:50:00
2026-04-01,POSI,M,2026-04-15,54000.0,45,710,90,2026-04-01 23:50:00
2026-04-01,POSI,W,2026-04-01,94200.0,79,0,-2292,2026-04-01 23:50:00
2026-04-01,POSI,W,2026-04-08,93500.0,85,382,60,2026-04-01 23:50:00
2026-04-01,POSI,W,2026-04-22,8000.0,8,16,16,2026-04-01 23:50:00
2026-04-01,POSI,M,2026-04-15,54000.0,45,710,90,2026-04-01 23:50:00
2026-04-01,ROSN,W,2026-04-01,33627590.0,70248,0,-360422,2026-04-01 23:50:00
2026-04-01,ROSN,W,2026-04-08,17354080.0,36814,127290,70290,2026-04-01 23:50:00
2026-04-01,ROSN,W,2026-04-22,178300.0,355,710,710,2026-04-01 23:50:00
2026-04-01,ROSN,M,2026-04-15,9214700.0,19918,112344,27252,2026-04-01 23:50:00
2026-04-01,ROSN,Q,2026-06-17,1415540.0,3033,762852,4806,2026-04-01 23:50:00
2026-04-01,ROSN,Q,2027-06-16,0.0,205,1655622,-410,2026-04-01 18:49:52
2026-04-01,ROSN,W,2026-04-01,33627590.0,70248,0,-360422,2026-04-01 23:50:00
2026-04-01,ROSN,W,2026-04-08,17354080.0,36814,127290,70290,2026-04-01 23:50:00
2026-04-01,ROSN,W,2026-04-22,178300.0,355,710,710,2026-04-01 23:50:00
2026-04-01,ROSN,M,2026-04-15,9214700.0,19918,112344,27252,2026-04-01 23:50:00
2026-04-01,ROSN,Q,2026-06-17,1415540.0,3033,762852,4806,2026-04-01 23:50:00
2026-04-01,ROSN,Q,2027-06-16,0.0,205,1655622,-410,2026-04-01 18:49:52
2026-04-01,RTKM,W,2026-04-01,1575900.0,2570,0,-15366,2026-04-01 23:50:00
2026-04-01,RTKM,W,2026-04-08,313500.0,550,4214,1100,2026-04-01 23:50:00
2026-04-01,RTKM,M,2026-04-15,443760.0,768,14182,1456,2026-04-01 23:50:00
2026-04-01,RTKM,W,2026-04-01,1575900.0,2570,0,-15366,2026-04-01 23:50:00
2026-04-01,RTKM,W,2026-04-08,313500.0,550,4214,1100,2026-04-01 23:50:00
2026-04-01,RTKM,M,2026-04-15,443760.0,768,14182,1456,2026-04-01 23:50:00
2026-04-01,RUAL,W,2026-04-01,1454700.0,3603,0,-25354,2026-04-01 23:50:00
2026-04-01,RUAL,W,2026-04-08,518310.0,1329,13862,2058,2026-04-01 23:50:00
2026-04-01,RUAL,M,2026-04-15,283080.0,722,10066,1044,2026-04-01 23:50:00
2026-04-01,RUAL,W,2026-04-01,1454700.0,3603,0,-25354,2026-04-01 23:50:00
2026-04-01,RUAL,W,2026-04-08,518310.0,1329,13862,2058,2026-04-01 23:50:00
2026-04-01,RUAL,M,2026-04-15,283080.0,722,10066,1044,2026-04-01 23:50:00
2026-04-01,SIBN,W,2026-04-01,691130.0,1261,0,-6776,2026-04-01 23:50:00
2026-04-01,SIBN,W,2026-04-08,139950.0,265,1420,370,2026-04-01 23:50:00
2026-04-01,SIBN,M,2026-04-15,133920.0,264,4732,462,2026-04-01 23:50:00
2026-04-01,SIBN,W,2026-04-01,691130.0,1261,0,-6776,2026-04-01 23:50:00
2026-04-01,SIBN,W,2026-04-08,139950.0,265,1420,370,2026-04-01 23:50:00
2026-04-01,SIBN,M,2026-04-15,133920.0,264,4732,462,2026-04-01 23:50:00
2026-04-01,SMLT,W,2026-04-01,127500.0,170,0,-2730,2026-04-01 23:50:00
2026-04-01,SMLT,W,2026-04-08,231900.0,335,1580,586,2026-04-01 23:50:00
2026-04-01,SMLT,M,2026-04-15,252150.0,344,5542,628,2026-04-01 23:50:00
2026-04-01,SMLT,W,2026-04-01,127500.0,170,0,-2730,2026-04-01 23:50:00
2026-04-01,SMLT,W,2026-04-08,231900.0,335,1580,586,2026-04-01 23:50:00
2026-04-01,SMLT,M,2026-04-15,252150.0,344,5542,628,2026-04-01 23:50:00
2026-04-01,SPBE,W,2026-04-01,108000.0,450,0,-462,2026-04-01 23:50:00
2026-04-01,SPBE,W,2026-04-01,108000.0,450,0,-462,2026-04-01 23:50:00
2026-04-01,SVCB,W,2026-04-01,481000.0,370,0,-2862,2026-04-01 23:50:00
2026-04-01,SVCB,W,2026-04-08,62500.0,50,2100,100,2026-04-01 23:50:00
2026-04-01,SVCB,M,2026-04-15,141650.0,117,2316,124,2026-04-01 23:50:00
2026-04-01,SVCB,W,2026-04-01,481000.0,370,0,-2862,2026-04-01 23:50:00
2026-04-01,SVCB,W,2026-04-08,62500.0,50,2100,100,2026-04-01 23:50:00
2026-04-01,SVCB,M,2026-04-15,141650.0,117,2316,124,2026-04-01 23:50:00
2026-04-01,TATN,W,2026-04-01,11204675.0,16570,0,-91466,2026-04-01 23:50:00
2026-04-01,TATN,W,2026-04-08,7355700.0,11088,36290,5832,2026-04-01 23:50:00
2026-04-01,TATN,M,2026-04-15,15276450.0,23208,90380,28546,2026-04-01 23:50:00
2026-04-01,TATN,W,2026-04-01,11204675.0,16570,0,-91466,2026-04-01 23:50:00
2026-04-01,TATN,W,2026-04-08,7355700.0,11088,36290,5832,2026-04-01 23:50:00
2026-04-01,TATN,M,2026-04-15,15276450.0,23208,90380,28546,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-01,129000.0,450,0,-17016,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-08,290240.0,1033,10262,880,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-22,4420.0,17,34,34,2026-04-01 23:50:00
2026-04-01,VKCO,M,2026-04-15,181640.0,629,8866,938,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-01,129000.0,450,0,-17016,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-08,290240.0,1033,10262,880,2026-04-01 23:50:00
2026-04-01,VKCO,W,2026-04-22,4420.0,17,34,34,2026-04-01 23:50:00
2026-04-01,VKCO,M,2026-04-15,181640.0,629,8866,938,2026-04-01 23:50:00
2026-04-01,VTBR,W,2026-04-01,6870520.0,7980,0,-34354,2026-04-01 23:50:00
2026-04-01,VTBR,W,2026-04-08,12129440.0,13849,37806,22500,2026-04-01 23:50:00
2026-04-01,VTBR,M,2026-04-15,17583000.0,18700,47880,29624,2026-04-01 23:50:00
2026-04-01,VTBR,W,2026-04-01,6870520.0,7980,0,-34354,2026-04-01 23:50:00
2026-04-01,VTBR,W,2026-04-08,12129440.0,13849,37806,22500,2026-04-01 23:50:00
2026-04-01,VTBR,M,2026-04-15,17583000.0,18700,47880,29624,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-01,11388400.0,2634,0,-47752,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-08,6579300.0,1576,11982,2484,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-22,33600.0,8,16,16,2026-04-01 23:50:00
2026-04-01,YDEX,M,2026-04-15,5852300.0,1371,18096,2136,2026-04-01 23:50:00
2026-04-01,YDEX,Q,2026-06-17,1050000.0,250,2514,500,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-01,11388400.0,2634,0,-47752,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-08,6579300.0,1576,11982,2484,2026-04-01 23:50:00
2026-04-01,YDEX,W,2026-04-22,33600.0,8,16,16,2026-04-01 23:50:00
2026-04-01,YDEX,M,2026-04-15,5852300.0,1371,18096,2136,2026-04-01 23:50:00
2026-04-01,YDEX,Q,2026-06-17,1050000.0,250,2514,500,2026-04-01 23:50:00
2026-04-02,AFKS,M,2026-04-15,13533.0,1041,30038,2082,2026-04-02 23:50:00
2026-04-02,AFKS,M,2026-04-15,13533.0,1041,30038,2082,2026-04-02 23:50:00
2026-04-02,AFLT,W,2026-04-08,779415.0,1619,20578,2488,2026-04-02 23:50:00
2026-04-02,AFLT,W,2026-04-22,287010.0,626,1852,1252,2026-04-02 23:50:00
2026-04-02,AFLT,M,2026-04-15,1234080.0,2500,18072,4188,2026-04-02 23:50:00
2026-04-02,AFLT,W,2026-04-08,779415.0,1619,20578,2488,2026-04-02 23:50:00
2026-04-02,AFLT,W,2026-04-22,287010.0,626,1852,1252,2026-04-02 23:50:00
2026-04-02,AFLT,M,2026-04-15,1234080.0,2500,18072,4188,2026-04-02 23:50:00
2026-04-02,ALRS,W,2026-04-08,749415.0,21800,427300,34276,2026-04-02 23:50:00
2026-04-02,ALRS,W,2026-04-22,645500.0,18900,36600,34600,2026-04-02 23:50:00
2026-04-02,ALRS,M,2026-04-15,1164250.0,32172,434688,53548,2026-04-02 23:50:00
2026-04-02,ALRS,Q,2028-12-20,0.0,5299,9927414,0,2026-04-02 18:23:20
2026-04-02,ALRS,Q,2030-06-19,0.0,8905,62986,17810,2026-04-02 18:23:12
2026-04-02,ALRS,W,2026-04-08,749415.0,21800,427300,34276,2026-04-02 23:50:00
2026-04-02,ALRS,W,2026-04-22,645500.0,18900,36600,34600,2026-04-02 23:50:00
2026-04-02,ALRS,M,2026-04-15,1164250.0,32172,434688,53548,2026-04-02 23:50:00
2026-04-02,ALRS,Q,2028-12-20,0.0,5299,9927414,0,2026-04-02 18:23:20
2026-04-02,ALRS,Q,2030-06-19,0.0,8905,62986,17810,2026-04-02 18:23:12
2026-04-02,CHMF,W,2026-04-08,192050.0,227,3512,386,2026-04-02 23:50:00
2026-04-02,CHMF,W,2026-04-22,115000.0,150,300,300,2026-04-02 23:50:00
2026-04-02,CHMF,M,2026-04-15,78100.0,87,7514,62,2026-04-02 23:50:00
2026-04-02,CHMF,M,2026-05-20,12000.0,20,40,40,2026-04-02 23:50:00
2026-04-02,CHMF,W,2026-04-08,192050.0,227,3512,386,2026-04-02 23:50:00
2026-04-02,CHMF,W,2026-04-22,115000.0,150,300,300,2026-04-02 23:50:00
2026-04-02,CHMF,M,2026-04-15,78100.0,87,7514,62,2026-04-02 23:50:00
2026-04-02,CHMF,M,2026-05-20,12000.0,20,40,40,2026-04-02 23:50:00
2026-04-02,FEES,W,2026-04-08,452400.0,630,3970,1060,2026-04-02 23:50:00
2026-04-02,FEES,W,2026-04-22,208200.0,290,580,580,2026-04-02 23:50:00
2026-04-02,FEES,M,2026-04-15,133500.0,180,3766,100,2026-04-02 23:50:00
2026-04-02,FEES,W,2026-04-08,452400.0,630,3970,1060,2026-04-02 23:50:00
2026-04-02,FEES,W,2026-04-22,208200.0,290,580,580,2026-04-02 23:50:00
2026-04-02,FEES,M,2026-04-15,133500.0,180,3766,100,2026-04-02 23:50:00
2026-04-02,GMKN,W,2026-04-08,1643900.0,1186,6656,1918,2026-04-02 23:50:00
2026-04-02,GMKN,W,2026-04-22,788500.0,540,1080,1080,2026-04-02 23:50:00
2026-04-02,GMKN,M,2026-04-15,2098500.0,1443,35778,2136,2026-04-02 23:50:00
2026-04-02,GMKN,W,2026-04-08,1643900.0,1186,6656,1918,2026-04-02 23:50:00
2026-04-02,GMKN,W,2026-04-22,788500.0,540,1080,1080,2026-04-02 23:50:00
2026-04-02,GMKN,M,2026-04-15,2098500.0,1443,35778,2136,2026-04-02 23:50:00
2026-04-02,IRAO,W,2026-04-08,202700.0,669,4174,1152,2026-04-02 23:50:00
2026-04-02,IRAO,W,2026-04-22,17000.0,50,100,100,2026-04-02 23:50:00
2026-04-02,IRAO,M,2026-04-15,45100.0,137,4772,274,2026-04-02 23:50:00
2026-04-02,IRAO,W,2026-04-08,202700.0,669,4174,1152,2026-04-02 23:50:00
2026-04-02,IRAO,W,2026-04-22,17000.0,50,100,100,2026-04-02 23:50:00
2026-04-02,IRAO,M,2026-04-15,45100.0,137,4772,274,2026-04-02 23:50:00
2026-04-02,LKOH,W,2026-04-08,1409500.0,255,2544,352,2026-04-02 23:50:00
2026-04-02,LKOH,W,2026-04-22,1156000.0,201,362,362,2026-04-02 23:50:00
2026-04-02,LKOH,M,2026-04-15,1582500.0,276,4436,262,2026-04-02 23:50:00
2026-04-02,LKOH,Q,2026-06-17,52500.0,10,514,20,2026-04-02 23:50:00
2026-04-02,LKOH,W,2026-04-08,1409500.0,255,2544,352,2026-04-02 23:50:00
2026-04-02,LKOH,W,2026-04-22,1156000.0,201,362,362,2026-04-02 23:50:00
2026-04-02,LKOH,M,2026-04-15,1582500.0,276,4436,262,2026-04-02 23:50:00
2026-04-02,LKOH,Q,2026-06-17,52500.0,10,514,20,2026-04-02 23:50:00
2026-04-02,MAGN,W,2026-04-08,353054.0,13839,190084,17288,2026-04-02 23:50:00
2026-04-02,MAGN,W,2026-04-22,216000.0,8000,24000,16000,2026-04-02 23:50:00
2026-04-02,MAGN,M,2026-04-15,77224.0,3086,215216,3252,2026-04-02 23:50:00
2026-04-02,MAGN,W,2026-04-08,353054.0,13839,190084,17288,2026-04-02 23:50:00
2026-04-02,MAGN,W,2026-04-22,216000.0,8000,24000,16000,2026-04-02 23:50:00
2026-04-02,MAGN,M,2026-04-15,77224.0,3086,215216,3252,2026-04-02 23:50:00
2026-04-02,MGNT,M,2026-04-15,6400.0,2,66,0,2026-04-02 23:50:00
2026-04-02,MGNT,M,2026-04-15,6400.0,2,66,0,2026-04-02 23:50:00
2026-04-02,MOEX,W,2026-04-08,4368740.0,25471,185912,45700,2026-04-02 23:50:00
2026-04-02,MOEX,W,2026-04-22,2663400.0,15760,31930,31520,2026-04-02 23:50:00
2026-04-02,MOEX,M,2026-04-15,1768240.0,9829,198362,14982,2026-04-02 23:50:00
2026-04-02,MOEX,M,2026-05-20,3060.0,17,36,34,2026-04-02 23:50:00
2026-04-02,MOEX,Q,2028-06-21,21842.0,130,560214,260,2026-04-02 23:50:00
2026-04-02,MOEX,W,2026-04-08,4368740.0,25471,185912,45700,2026-04-02 23:50:00
2026-04-02,MOEX,W,2026-04-22,2663400.0,15760,31930,31520,2026-04-02 23:50:00
2026-04-02,MOEX,M,2026-04-15,1768240.0,9829,198362,14982,2026-04-02 23:50:00
2026-04-02,MOEX,M,2026-05-20,3060.0,17,36,34,2026-04-02 23:50:00
2026-04-02,MOEX,Q,2028-06-21,21842.0,130,560214,260,2026-04-02 23:50:00
2026-04-02,MSNG,W,2026-04-22,2200.0,10,20,20,2026-04-02 23:50:00
2026-04-02,MSNG,M,2026-04-15,5550.0,27,4636,54,2026-04-02 23:50:00
2026-04-02,MSNG,W,2026-04-22,2200.0,10,20,20,2026-04-02 23:50:00
2026-04-02,MSNG,M,2026-04-15,5550.0,27,4636,54,2026-04-02 23:50:00
2026-04-02,MTLR,W,2026-04-08,100500.0,1450,9644,2100,2026-04-02 23:50:00
2026-04-02,MTLR,M,2026-04-15,65170.0,931,6148,590,2026-04-02 23:50:00
2026-04-02,MTLR,W,2026-04-08,100500.0,1450,9644,2100,2026-04-02 23:50:00
2026-04-02,MTLR,M,2026-04-15,65170.0,931,6148,590,2026-04-02 23:50:00
2026-04-02,NLMK,M,2026-04-15,10000.0,100,1836,200,2026-04-02 23:50:00
2026-04-02,NLMK,M,2026-04-15,10000.0,100,1836,200,2026-04-02 23:50:00
2026-04-02,PIKK,W,2026-04-08,701925.0,1434,12922,2456,2026-04-02 23:50:00
2026-04-02,PIKK,W,2026-04-22,693775.0,1402,2804,2804,2026-04-02 23:50:00
2026-04-02,PIKK,M,2026-04-15,553800.0,1164,9484,1542,2026-04-02 23:50:00
2026-04-02,PIKK,W,2026-04-08,701925.0,1434,12922,2456,2026-04-02 23:50:00
2026-04-02,PIKK,W,2026-04-22,693775.0,1402,2804,2804,2026-04-02 23:50:00
2026-04-02,PIKK,M,2026-04-15,553800.0,1164,9484,1542,2026-04-02 23:50:00
2026-04-02,PLZL,W,2026-04-08,681200.0,31,96,34,2026-04-02 23:50:00
2026-04-02,PLZL,W,2026-04-22,442000.0,20,40,40,2026-04-02 23:50:00
2026-04-02,PLZL,Q,2028-12-20,0.0,16,22340,-32,2026-04-02 18:24:33
2026-04-02,PLZL,Q,2030-06-19,0.0,12,90,24,2026-04-02 18:24:44
2026-04-02,PLZL,W,2026-04-08,681200.0,31,96,34,2026-04-02 23:50:00
2026-04-02,PLZL,W,2026-04-22,442000.0,20,40,40,2026-04-02 23:50:00
2026-04-02,PLZL,Q,2028-12-20,0.0,16,22340,-32,2026-04-02 18:24:33
2026-04-02,PLZL,Q,2030-06-19,0.0,12,90,24,2026-04-02 18:24:44
2026-04-02,POSI,W,2026-04-08,7700.0,7,384,2,2026-04-02 23:50:00
2026-04-02,POSI,W,2026-04-22,30000.0,25,66,50,2026-04-02 23:50:00
2026-04-02,POSI,M,2026-04-15,18900.0,18,746,36,2026-04-02 23:50:00
2026-04-02,POSI,W,2026-04-08,7700.0,7,384,2,2026-04-02 23:50:00
2026-04-02,POSI,W,2026-04-22,30000.0,25,66,50,2026-04-02 23:50:00
2026-04-02,POSI,M,2026-04-15,18900.0,18,746,36,2026-04-02 23:50:00
2026-04-02,ROSN,W,2026-04-08,4759340.0,10071,145574,18084,2026-04-02 23:50:00
2026-04-02,ROSN,W,2026-04-22,1119750.0,2394,5348,4438,2026-04-02 23:50:00
2026-04-02,ROSN,M,2026-04-15,5615890.0,12542,120704,7760,2026-04-02 23:50:00
2026-04-02,ROSN,M,2026-09-16,150000.0,300,1000240,0,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2026-06-17,984900.0,2154,767036,4184,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2026-12-16,372000.0,600,1430558,1200,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2027-12-15,0.0,942,883896,-60,2026-04-02 18:49:54
2026-04-02,ROSN,Q,2028-09-20,0.0,110,137408,0,2026-04-02 18:23:44
2026-04-02,ROSN,W,2026-04-08,4759340.0,10071,145574,18084,2026-04-02 23:50:00
2026-04-02,ROSN,W,2026-04-22,1119750.0,2394,5348,4438,2026-04-02 23:50:00
2026-04-02,ROSN,M,2026-04-15,5615890.0,12542,120704,7760,2026-04-02 23:50:00
2026-04-02,ROSN,M,2026-09-16,150000.0,300,1000240,0,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2026-06-17,984900.0,2154,767036,4184,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2026-12-16,372000.0,600,1430558,1200,2026-04-02 23:50:00
2026-04-02,ROSN,Q,2027-12-15,0.0,942,883896,-60,2026-04-02 18:49:54
2026-04-02,ROSN,Q,2028-09-20,0.0,110,137408,0,2026-04-02 18:23:44
2026-04-02,RTKM,W,2026-04-08,142500.0,250,4414,200,2026-04-02 23:50:00
2026-04-02,RTKM,W,2026-04-22,310500.0,550,1100,1100,2026-04-02 23:50:00
2026-04-02,RTKM,M,2026-04-15,176130.0,309,14200,18,2026-04-02 23:50:00
